Event	ID	Name			Wwise Object Path	Notes
	85412153	Ambience			\Default Work Unit\Ambience	
	134222113	Ball_Jump			\Default Work Unit\Ball\Ball_Jump	
	285418122	Ball_Movement			\Default Work Unit\Ball\Ball_Movement	
	1091336318	SpeedTrigger			\Default Work Unit\SpeedTrigger	
	1165162655	Ball_Impact			\Default Work Unit\Ball\Ball_Impact	
	1460941491	Diamond_Catch			\Default Work Unit\Diamond\Diamond_Catch	
	2555741448	Finish			\Default Work Unit\Finish	
	3312059336	Diamond_AimOff			\Default Work Unit\Diamond\Diamond_AimOff	
	3822983202	Ball_Water			\Default Work Unit\Ball\Ball_Water	
	3991942870	Music			\Default Work Unit\Music	
	4096946770	Diamond_AimOn			\Default Work Unit\Diamond\Diamond_AimOn	

Switch Group	ID	Name			Wwise Object Path	Notes
	354267144	Terrain			\Default Work Unit\Terrain	

Switch	ID	Name	Switch Group			Notes
	2058049674	Wood	Terrain			
	2348606633	Dust	Terrain			
	2473969246	Metal	Terrain			
	2654748154	Water	Terrain			
	4248645337	Grass	Terrain			

Game Parameter	ID	Name			Wwise Object Path	Notes
	149143475	BallVelocity			\Default Work Unit\BallVelocity	
	2062901289	BallImpactVelocity			\Default Work Unit\BallImpactVelocity	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	77242540	EnemyShield1	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\EnemyShield1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Metal\EnemyShield1		138012
	91643475	CaptainGrappleHook3	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\CaptainGrappleHook3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Dust\CaptainGrappleHook3		176464
	180824468	Whoosh,Sound Design,Power Down,Groan,Choppy,Very High	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\Whoosh,Sound Design,Power Down,Groan,Choppy,Very High_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Others\FastLane\Whoosh,Sound Design,Power Down,Groan,Choppy,Very High		609548
	207084213	CaptainStepBoot1	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\CaptainStepBoot1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Wood\CaptainStepBoot1		88264
	255342118	UI SFX Down Example	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\UI SFX Down Example_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Diamonds\UI SFX Down Example		220564
	306657653	CaptainHit1	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\CaptainHit1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Jump\CaptainHit1		146760
	321371745	CaptainAttack2	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\CaptainAttack2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Grass\CaptainAttack2		88264
	362998958	Whoosh,Sound Design,Whip By,Airy to Whine,High	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\Whoosh,Sound Design,Whip By,Airy to Whine,High_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Others\FastLane\Whoosh,Sound Design,Whip By,Airy to Whine,High		341768
	563288652	CaptainAttack11	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\CaptainAttack1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Jump\CaptainAttack11		88264
	674452838	CaptainGrappleHook2	C:\Proyectos Programas\Unity\3darMirror\wwise-integration\wwise-integration_WwiseProject\.cache\Windows\SFX\CaptainGrappleHook2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Player\Movement\Dust\CaptainGrappleHook2		176464
